location_slug;location_name;target_date;adm4;bmkg_point_name;area_level;is_proxy_bmkg;latitude;longitude;timezone;location_note;jam;sources_used;weight_total;coverage_status;source_list;dominant_category;confidence_score;confidence_label;temp_mean;temp_error;rh_mean;rh_error;rain_mean;rain_error;heat_index_mean;heat_index_error;%cerah;%cerah_berawan;%berawan;%hujan_ringan;%hujan_sedang;%hujan_lebat
dago;Dago, Bandung;30/04/2026;32.73.02.1004;Dago;kelurahan;no;-6.889;107.61;Asia/Jakarta;BMKG point: Dago, Coblong, Kota Bandung;10:00;9;87.925;cukup;BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO;Berawan;88.9;Tinggi;26.42;+/-0.65;70.78;+/-5.0;0.02;+/-0.07;26.19;+/-0.36;0.0;23.5;65.2;11.4;0.0;0.0
dago;Dago, Bandung;30/04/2026;32.73.02.1004;Dago;kelurahan;no;-6.889;107.61;Asia/Jakarta;BMKG point: Dago, Coblong, Kota Bandung;13:00;9;87.925;cukup;BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO;Hujan Ringan;79.9;Sedang;26.5;+/-2.32;74.91;+/-6.12;1.12;+/-1.27;28.27;+/-4.71;0.0;0.0;29.3;36.5;11.4;22.7
dago;Dago, Bandung;30/04/2026;32.73.02.1004;Dago;kelurahan;no;-6.889;107.61;Asia/Jakarta;BMKG point: Dago, Coblong, Kota Bandung;16:00;9;87.925;cukup;BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO;Hujan Ringan;86.8;Tinggi;25.69;+/-1.77;79.94;+/-4.26;0.44;+/-0.49;25.34;+/-1.56;0.0;0.0;16.8;59.9;11.4;11.9
dago;Dago, Bandung;30/04/2026;32.73.02.1004;Dago;kelurahan;no;-6.889;107.61;Asia/Jakarta;BMKG point: Dago, Coblong, Kota Bandung;19:00;9;87.925;cukup;BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO;Berawan;85.9;Tinggi;23.36;+/-1.61;92.19;+/-2.01;0.04;+/-0.08;22.84;+/-0.99;0.0;11.4;53.9;22.2;12.5;0.0
dago;Dago, Bandung;30/04/2026;32.73.02.1004;Dago;kelurahan;no;-6.889;107.61;Asia/Jakarta;BMKG point: Dago, Coblong, Kota Bandung;22:00;9;87.925;cukup;BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO;Berawan;91.3;Tinggi;22.7;+/-1.74;94.89;+/-1.38;0.12;+/-0.17;22.7;+/-1.74;0.0;0.0;76.1;23.9;0.0;0.0
jatinangor;Jatinangor, Sumedang;30/04/2026;32.11.15.2002;Hegarmanah;kecamatan;yes;-6.938;1.077.556;Asia/Jakarta;BMKG representative point: Hegarmanah, Kecamatan Jatinangor;10:00;9;9.13;cukup;BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO;Berawan;81.9;Tinggi;27.62;+/-0.87;69.46;+/-4.3;0.91;+/-1.76;28.94;+/-1.41;0.0;24.6;38.7;25.7;0.0;11.0
jatinangor;Jatinangor, Sumedang;30/04/2026;32.11.15.2002;Hegarmanah;kecamatan;yes;-6.938;1.077.556;Asia/Jakarta;BMKG representative point: Hegarmanah, Kecamatan Jatinangor;13:00;9;9.13;cukup;BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO;Hujan Ringan;84.1;Tinggi;26.08;+/-1.94;75.72;+/-11.17;1.19;+/-1.08;25.68;+/-1.78;0.0;0.0;39.8;49.8;0.0;10.4
jatinangor;Jatinangor, Sumedang;30/04/2026;32.11.15.2002;Hegarmanah;kecamatan;yes;-6.938;1.077.556;Asia/Jakarta;BMKG representative point: Hegarmanah, Kecamatan Jatinangor;16:00;9;9.13;cukup;BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO;Berawan;86.0;Tinggi;26.06;+/-2.41;78.72;+/-6.71;0.02;+/-0.04;27.49;+/-4.56;0.0;0.0;54.0;34.5;0.0;11.5
jatinangor;Jatinangor, Sumedang;30/04/2026;32.11.15.2002;Hegarmanah;kecamatan;yes;-6.938;1.077.556;Asia/Jakarta;BMKG representative point: Hegarmanah, Kecamatan Jatinangor;19:00;9;9.13;cukup;BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO;Berawan;86.2;Tinggi;23.28;+/-1.92;93.73;+/-4.86;0.14;+/-0.22;22.74;+/-1.42;0.0;0.0;53.5;34.5;12.0;0.0
jatinangor;Jatinangor, Sumedang;30/04/2026;32.11.15.2002;Hegarmanah;kecamatan;yes;-6.938;1.077.556;Asia/Jakarta;BMKG representative point: Hegarmanah, Kecamatan Jatinangor;22:00;9;9.13;cukup;BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO;Berawan;92.0;Tinggi;22.58;+/-2.08;96.22;+/-2.65;0.25;+/-0.44;21.97;+/-1.43;0.0;0.0;77.0;23.0;0.0;0.0
arjawinangun;Arjawinangun, Cirebon;30/04/2026;32.09.24.2004;Arjawinangun;kecamatan;no;-66.453;1.084.103;Asia/Jakarta;BMKG point: Arjawinangun, Kecamatan Arjawinangun;10:00;9;9.13;cukup;BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO;Berawan;86.5;Tinggi;30.58;+/-0.66;69.68;+/-3.8;0.06;+/-0.13;36.41;+/-1.32;0.0;26.8;51.8;11.0;0.0;10.4
arjawinangun;Arjawinangun, Cirebon;30/04/2026;32.09.24.2004;Arjawinangun;kecamatan;no;-66.453;1.084.103;Asia/Jakarta;BMKG point: Arjawinangun, Kecamatan Arjawinangun;13:00;9;9.13;cukup;BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO;Hujan Ringan;85.0;Tinggi;31.25;+/-1.48;66.29;+/-7.96;0.64;+/-0.66;36.97;+/-2.04;0.0;23.0;16.2;50.4;0.0;10.4
arjawinangun;Arjawinangun, Cirebon;30/04/2026;32.09.24.2004;Arjawinangun;kecamatan;no;-66.453;1.084.103;Asia/Jakarta;BMKG point: Arjawinangun, Kecamatan Arjawinangun;16:00;9;9.13;cukup;BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO;Berawan;84.1;Tinggi;29.67;+/-1.21;74.19;+/-4.3;0.03;+/-0.05;35.16;+/-2.28;0.0;11.0;43.0;24.1;0.0;21.9
arjawinangun;Arjawinangun, Cirebon;30/04/2026;32.09.24.2004;Arjawinangun;kecamatan;no;-66.453;1.084.103;Asia/Jakarta;BMKG point: Arjawinangun, Kecamatan Arjawinangun;19:00;9;9.13;cukup;BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO;Berawan;92.5;Tinggi;27.42;+/-1.11;86.79;+/-2.33;0.29;+/-0.52;31.2;+/-3.63;0.0;0.0;77.5;12.0;0.0;10.4
arjawinangun;Arjawinangun, Cirebon;30/04/2026;32.09.24.2004;Arjawinangun;kecamatan;no;-66.453;1.084.103;Asia/Jakarta;BMKG point: Arjawinangun, Kecamatan Arjawinangun;22:00;9;9.13;cukup;BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO;Hujan Ringan;86.0;Tinggi;26.89;+/-0.72;89.54;+/-2.64;0.04;+/-0.08;29.6;+/-3.11;0.0;11.0;29.4;49.3;0.0;10.4
